Full Design,Penalized Target Ratio Objective,Penalized Stiffness Objective,Feasibility Score,Stability Score
101100001010000001000101001000011101,0.009939705575236527,-0.5706154278456519,1.0,1.0
101100001010000001000101001000011101,0.009939705575236527,-0.5706154278456519,1.0,1.0
100100001010000000000100001010010101,0.03975882230094612,-0.7287036029625051,1.0,1.0
101100001000000001000100001000010101,0.03975882230094612,-0.7287036029625051,1.0,1.0
101100001010000001000101001000011101,0.009939705575236527,-0.5706154278456519,1.0,1.0
100100001010000000000100001000010101,0.049698527876182653,-0.8028460464800199,1.0,1.0
100100001010000000000100001000010101,0.049698527876182653,-0.8028460464800199,1.0,1.0
100100001010000000000100001000010101,0.049698527876182653,-0.8028460464800199,1.0,1.0
101100001000000001000100001010010101,0.02981911672570959,-0.6670974743304074,1.0,1.0
101100001010000001000101001000011101,0.009939705575236527,-0.5706154278456519,1.0,1.0
100100001010000000000101001000011101,0.02981911672570959,-0.6670974743304074,1.0,1.0
101100001000000001000100001010010101,0.02981911672570959,-0.6670974743304074,1.0,1.0
101100001010000001000101001000011101,0.009939705575236527,-0.5706154278456519,1.0,1.0
101100001000000001000100001000010101,0.03975882230094612,-0.7287036029625051,1.0,1.0
101100001010000001000101001000011101,0.009939705575236527,-0.5706154278456519,1.0,1.0
100100001010000000000100001000010101,0.049698527876182653,-0.8028460464800199,1.0,1.0
101100001010000001000100001000100101,0.03718127421479806,-0.7239677883528387,1.0,1.0
101100001010000001000100001000010101,0.02981911672570959,-0.6670974743304074,1.0,1.0
100100001010000000000001001000011101,0.02336268418401878,-0.6200571139865847,1.0,1.0
100100001000000000000100001000010101,0.059638233451419186,-0.8937847873379051,1.0,1.0
100100001010000000000101001000011101,0.02981911672570959,-0.6670974743304074,1.0,1.0
100100001010000000000100001000010101,0.049698527876182653,-0.8028460464800199,1.0,1.0
101100001010000001000101001000011101,0.009939705575236527,-0.5706154278456519,1.0,1.0
